symbol,window,ratio,window_start,avg_close,prev_avg_close,pct_change,industry,companyName,window_start_str,summary
CRM,1 week,0.05,2014-12-22 00:00:00+08:00,6043.9567448680355,5711.833824975418,5.81,Software - Application,"Salesforce, Inc.",2014-12-22,
CRM,1 week,0.05,2015-02-23 00:00:00+08:00,6602.966841892438,6270.565217391304,5.3,Software - Application,"Salesforce, Inc.",2015-02-23,
CRM,1 week,0.05,2015-10-05 00:00:00+08:00,7476.326747720364,7047.582997987927,6.08,Software - Application,"Salesforce, Inc.",2015-10-05,
CRM,1 week,0.05,2016-02-01 00:00:00+08:00,6460.545200372786,6836.675675675675,-5.5,Software - Application,"Salesforce, Inc.",2016-02-01,
CRM,1 week,0.05,2016-02-08 00:00:00+08:00,5771.565928777671,6460.545200372786,-10.66,Software - Application,"Salesforce, Inc.",2016-02-08,
CRM,1 week,0.05,2016-02-15 00:00:00+08:00,6160.68375,5771.565928777671,6.74,Software - Application,"Salesforce, Inc.",2016-02-15,
CRM,1 week,0.05,2016-02-22 00:00:00+08:00,6558.484706881904,6160.68375,6.46,Software - Application,"Salesforce, Inc.",2016-02-22,
CRM,1 week,0.05,2016-02-29 00:00:00+08:00,6977.519727228447,6558.484706881904,6.39,Software - Application,"Salesforce, Inc.",2016-02-29,
CRM,1 week,0.05,2016-11-28 00:00:00+08:00,7101.069457221711,7515.412491420728,-5.51,Software - Application,"Salesforce, Inc.",2016-11-28,
CRM,1 week,0.05,2018-03-05 00:00:00+08:00,12474.9918699187,11806.131885806191,5.67,Software - Application,"Salesforce, Inc.",2018-03-05,
CRM,1 week,0.05,2018-05-07 00:00:00+08:00,12892.620723847298,12275.753932014206,5.03,Software - Application,"Salesforce, Inc.",2018-05-07,
CRM,1 week,0.05,2018-07-30 00:00:00+08:00,13920.137370753324,14700.721674876848,-5.31,Software - Application,"Salesforce, Inc.",2018-07-30,
CRM,1 week,0.05,2018-10-08 00:00:00+08:00,14460.40855855856,15747.19617459539,-8.17,Software - Application,"Salesforce, Inc.",2018-10-08,
CRM,1 week,0.05,2018-11-19 00:00:00+08:00,12240.539449541284,13156.716332378224,-6.96,Software - Application,"Salesforce, Inc.",2018-11-19,
CRM,1 week,0.05,2018-11-26 00:00:00+08:00,13454.2631990614,12240.539449541284,9.92,Software - Application,"Salesforce, Inc.",2018-11-26,
CRM,1 week,0.05,2018-12-17 00:00:00+08:00,13037.530593180756,13915.001809954752,-6.31,Software - Application,"Salesforce, Inc.",2018-12-17,
